zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,lotarea,bldgarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assesstot,yearbuilt,residfar,commfar,facilfar,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,yearalter,income,assessland
11378,2757,16,405,24,30,L140,104,1700,4,1D,R,0,0,1,2400.0,2060.0,2,2.0,2,2,24.0,100.0,20.0,48.0,1,2,N,5,30097.0,1920,0.9,0.0,2.0,4,1011673.0,200505.0,0,5,46,0,0,76845.9521953866,7663.0
11216,1211,57,308,17,35,E219,77,2900,3,1A,R,0,0,2,2237.0,3460.0,1,3.0,3,3,20.33,110.0,20.33,42.0,0,2,N,5,24616.0,1915,2.0,0.0,2.0,3,997053.0,185805.0,0,8,32,0,0,127596.54342932909,6066.0
11428,10652,32,413,29,23,L162,105,2910,4,3C,R,0,0,1,4000.0,1408.0,2,2.0,1,1,40.0,100.0,22.0,39.0,1,1,N,5,24408.0,1930,0.5,0.0,1.0,4,1055324.0,203520.0,0,13,44,0,2008,40953.03216009087,7889.0
11220,768,40,307,15,38,E282,72,6600,3,3E,R,0,0,4,2000.0,4022.0,1,2.0,3,6,20.0,100.17,20.0,100.0,0,0,N,3,76702.0,1925,2.43,0.0,4.8,3,983616.0,173432.0,0,7,39,0,2005,160235.96276159634,26238.0
11207,4403,42,305,19,42,E225,75,6420,3,4E,R,0,0,1,1800.0,1944.0,2,3.0,2,2,18.0,100.0,18.0,36.0,0,2,N,5,25878.0,1960,1.25,0.0,2.0,3,1018194.0,179371.0,0,5,33,0,0,118057.00123192028,5397.0
11416,9379,10,409,27,28,E285,102,3100,4,1E,R,0,0,1,2521.0,2000.0,1,2.0,2,2,25.0,100.83,20.0,50.0,0,1,N,5,27228.0,1920,1.25,0.0,2.0,4,1028001.0,190036.0,0,9,45,0,0,58571.65363950055,9775.0
11368,1626,52,404,24,21,L138,110,1500,4,2E,R,0,0,1,2000.0,1424.0,2,2.5,2,2,20.0,100.0,16.0,38.0,1,2,N,5,29104.0,1925,1.25,0.0,2.0,4,1021488.0,210673.0,0,4,42,0,0,86494.42531008902,7817.0
11354,4783,14,407,25,20,L144,109,222,4,3D,R,0,0,1,4100.0,3375.0,1,2.0,2,2,41.0,100.0,27.0,50.0,1,1,N,5,55737.0,1965,0.9,0.0,2.0,4,1032999.0,220893.0,0,7,43,0,0,90962.43044314136,18564.0
11201,194,6,302,15,33,L110,84,2400,3,2A,R,0,0,4,2500.0,3000.0,1,3.0,4,5,25.0,100.0,25.0,45.0,0,2,N,5,121598.0,1920,3.0,0.0,3.0,3,987027.0,189557.0,0,2,38,0,1987,252564.0261881675,78319.0
11416,9425,4,409,27,28,E285,102,3100,4,1E,R,0,0,1,2000.0,2008.0,1,2.0,2,2,20.0,100.0,20.0,52.0,0,2,N,5,25845.0,1910,2.0,0.0,2.0,4,1029828.0,189593.0,0,9,45,0,0,89063.99260270956,10754.0
