,scores,support
firecomp_E058,9385.999999999973,True
firecomp_E059,9384.999999999915,False
firecomp_E060,5565.111309524029,False
firecomp_E062,5767.528911105187,False
firecomp_E063,4469.589421380748,False
firecomp_E064,4070.224032533358,False
firecomp_E065,9389.000000000047,True
firecomp_E066,4591.398026973586,False
firecomp_E067,7558.972222222183,False
firecomp_E068,7189.766666665623,False
firecomp_E069,9387.999999999993,True
firecomp_E070,5068.677272727762,False
firecomp_E071,9388.999999999862,True
firecomp_E072,5860.241864424518,False
firecomp_E073,6402.386419752855,False
firecomp_E074,9378.999999999955,False
firecomp_E075,6115.229487178836,False
firecomp_E076,8860.277777777743,False
firecomp_E079,6538.13541666683,False
firecomp_E080,6285.274305555599,False
firecomp_E081,5215.420714285336,False
firecomp_E082,4953.0085034014255,False
firecomp_E083,8754.933333333513,False
firecomp_E084,8446.899999999601,False
firecomp_E088,6005.239999999826,False
firecomp_E089,5749.996361295478,False
firecomp_E090,5773.843253967952,False
firecomp_E091,8209.12499999992,False
firecomp_E092,4040.508756395054,False
firecomp_E093,9389.000000000096,True
firecomp_E094,5009.986507936438,False
firecomp_E095,6542.242424242391,False
firecomp_E096,5153.471328935348,False
firecomp_E097,3730.764300144401,False
firecomp_E151,6166.17352033367,False
firecomp_E152,5515.32912342242,False
firecomp_E153,5912.611020924049,False
firecomp_E154,4439.284712384012,False
firecomp_E155,6722.180527209922,False
firecomp_E156,5372.563958153372,False
firecomp_E157,5166.725774226606,False
firecomp_E158,6064.790476190744,False
firecomp_E159,5723.800178252645,False
firecomp_E160,5394.317853640862,False
firecomp_E161,5504.806964084804,False
firecomp_E162,4977.6615156171,False
firecomp_E163,4096.0872886370535,False
firecomp_E164,6315.144505494897,False
firecomp_E165,6107.092037007247,False
firecomp_E166,4551.219402672749,False
firecomp_E167,5771.592058858867,False
firecomp_E168,4508.814397947312,False
firecomp_E201,5343.488892122859,False
firecomp_E202,5765.92528735617,False
firecomp_E205,7972.349999999808,False
firecomp_E206,7352.309829059761,False
firecomp_E207,3910.9166666665215,False
firecomp_E210,7813.9967532462215,False
firecomp_E211,7252.037348272883,False
firecomp_E214,5528.921176045439,False
firecomp_E216,2921.1576684308757,False
firecomp_E217,6692.723748473506,False
firecomp_E218,7291.56428571451,False
firecomp_E219,5829.249778894794,False
firecomp_E220,4297.460687187166,False
firecomp_E221,7343.2833333333,False
firecomp_E222,6238.882197268418,False
firecomp_E224,7608.564429012249,False
firecomp_E225,4973.209805151667,False
firecomp_E226,7212.895833333897,False
firecomp_E227,4632.385708272979,False
firecomp_E228,4047.829901960346,False
firecomp_E229,6623.460909090768,False
firecomp_E230,7869.732142856986,False
firecomp_E231,5817.696480332221,False
firecomp_E233,5494.97625313249,False
firecomp_E234,4844.98044294264,False
firecomp_E235,5249.780702180275,False
firecomp_E236,4116.347695390145,False
firecomp_E237,5471.08333333325,False
firecomp_E238,6316.7917603755595,False
firecomp_E239,3925.890739199985,False
firecomp_E240,3311.856196795838,False
firecomp_E241,5813.891067207269,False
firecomp_E242,5034.562250051822,False
firecomp_E243,3181.9745138643657,False
firecomp_E245,4447.231870675317,False
firecomp_E246,4309.822923783007,False
firecomp_E247,6395.413995577127,False
firecomp_E248,4473.82248794604,False
firecomp_E249,5157.772057036962,False
firecomp_E250,4942.509980158494,False
firecomp_E251,4079.012636843326,False
firecomp_E253,2846.7271121723356,False
firecomp_E254,6458.855367964775,False
firecomp_E255,4694.141803372585,False
firecomp_E257,3958.221585457443,False
firecomp_E258,9384.999999999982,False
firecomp_E259,4395.311885683903,False
firecomp_E260,4518.023707967795,False
firecomp_E262,5365.002316650616,False
firecomp_E263,3942.65460255386,False
firecomp_E264,6162.842999655069,False
firecomp_E265,5641.379578753956,False
firecomp_E266,5669.733583959038,False
firecomp_E268,5747.987499999293,False
firecomp_E271,5997.5685200213475,False
firecomp_E273,6958.778446226834,False
firecomp_E274,4076.5002939088745,False
firecomp_E275,5295.914088543858,False
firecomp_E276,4818.4505989479185,False
firecomp_E277,5683.463116122928,False
firecomp_E279,6513.40230897895,False
firecomp_E280,5254.040523936807,False
firecomp_E281,4380.143867328948,False
firecomp_E282,5277.017711291693,False
firecomp_E283,5100.232900433226,False
firecomp_E284,4072.9900455817124,False
firecomp_E285,4798.609832051755,False
firecomp_E286,5169.256788194873,False
firecomp_E287,4053.8314062810564,False
firecomp_E289,5765.378666161874,False
firecomp_E290,6394.894717261235,False
firecomp_E291,5004.247979797563,False
firecomp_E292,5673.411457916755,False
firecomp_E293,2209.479805726822,False
firecomp_E294,2745.974172601744,False
firecomp_E295,5556.672847478488,False
firecomp_E297,4545.449044660104,False
firecomp_E298,3932.930384394527,False
firecomp_E299,4465.483215201056,False
firecomp_E301,3785.553042281734,False
firecomp_E302,4532.615166302333,False
firecomp_E303,4211.211903103278,False
firecomp_E304,4043.7788053375225,False
firecomp_E305,4341.008538231069,False
firecomp_E306,6865.156606407795,False
firecomp_E307,4069.3025213589485,False
firecomp_E308,3437.971764419971,False
firecomp_E309,3645.6131188402114,False
firecomp_E310,3767.943560406292,False
firecomp_E311,4805.552863258243,False
firecomp_E312,3617.4120256898664,False
firecomp_E313,6856.022449275699,False
firecomp_E314,4893.457922450414,False
firecomp_E315,4766.789133296564,False
firecomp_E316,3966.777162524387,False
firecomp_E317,4655.183289827419,False
firecomp_E318,6255.573015873122,False
firecomp_E319,3489.6369434713138,False
firecomp_E320,4003.644120632292,False
firecomp_E321,4832.326722655351,False
firecomp_E323,6096.548560516689,False
firecomp_E324,5028.710437757853,False
firecomp_E325,6226.900606060844,False
firecomp_E326,4470.478218064849,False
firecomp_E328,5925.603525640822,False
firecomp_E329,7839.657100592226,False
firecomp_E330,4953.367083402726,False
firecomp_E331,3230.400455139761,False
firecomp_E332,3905.8333690277536,False
firecomp_L001,9389.000000000024,True
firecomp_L002,9384.999999999987,False
firecomp_L003,9386.99999999987,True
firecomp_L004,9383.99999999998,False
firecomp_L005,9382.999999999962,False
firecomp_L006,9384.999999999982,False
firecomp_L007,9381.999999999965,False
firecomp_L008,9383.999999999838,False
firecomp_L009,9386.000000000011,True
firecomp_L010,9389.000000000116,True
firecomp_L011,9379.999999999824,False
firecomp_L012,9380.999999999935,False
firecomp_L013,8911.449999999893,False
firecomp_L014,7430.541666666472,False
firecomp_L015,9390.000000000007,True
firecomp_L016,8489.619047619128,False
firecomp_L017,7371.642857142882,False
firecomp_L018,9386.999999999993,True
firecomp_L019,5551.341666666711,False
firecomp_L020,9382.999999999996,False
firecomp_L021,8602.41666666664,False
